PROPERTY_ID,SALE_PRICE,SALE_DATE,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,LIVING_SQFT,LOT_SQFT,BEDROOMS,FULL_BATHS,HALF_BATHS,GARAGE_SPACES,FIREPLACE_CODE,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,POPULATION_BELOW_POVERTY,POVERTY_RATE,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,CC_LIST_ID
90569653,69900,2024-07-08,1950,1997,43.8043,-74.8538,ny,eagle bay,13331,011502,464,14810,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Herkimer County,36043,18870,9937,29319,0.6436099457689552,0.3389269756812988,0.3046829700876564,-0.16107302431870119000,0.14360994576895525000,
90523388,314500,2025-05-07,1983,1983,42.3119,-74.2672,ny,windham,12496,080301,1536,2614,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Greene County,36039,14271,10346,25194,0.5664443915217909,0.4106533301579741,0.1557910613638168,-0.08934666984202588000,0.06644439152179094000,
94314747,280000,1999-11-24,1965,1965,40.871379,-73.226152,ny,smithtown,11787,134906,2615,14375,4,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,
93426879,103000,2025-06-12,1930,1930,44.936414,-74.884467,ny,massena,13662,490100,1248,6250,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,St. Lawrence County,36089,24608,19361,44907,0.5479769300999844,0.4311354577237402,0.1168414723762442,-0.06886454227625982000,0.04797693009998438000,
91836388,3900000,2014-02-27,2002,2002,40.730875,-74.009804,ny,new york,10014,006900,1733,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,New York County,36061,85185,603040,694904,0.1225852779664529,0.8678033224733200,-0.7452180445068671,0.36780332247332004000,-0.37741472203354710000,
90782668,377503,2005-02-04,2004,2004,40.666776,-73.921027,ny,brooklyn,11212,090000,3255,2143,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
89628006,76850,2009-05-06,1912,1912,42.069535,-76.806562,ny,elmira,14904,001100,1935,8983,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Chemung County,36015,21922,16636,39410,0.5562547576757169,0.4221263638670388,0.1341283938086780,-0.07787363613296122000,0.05625475767571686000,
93846902,500000,2020-11-24,1987,1987,40.946582,-72.85886,ny,wading river,11792,158402,2066,30056,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,
90919707,280500,1996-10-23,1970,1970,40.637447,-73.915898,ny,brooklyn,11236,095000,3342,2200,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
93380093,275000,2019-09-25,1973,1973,41.2295,-74.0007,ny,stony point,10980,010102,1656,10890,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Rockland County,36087,73186,75802,150369,0.4867093616370395,0.5041065645179525,-0.0173972028809130,0.00410656451795254900,-0.01329063836296051600,
90937867,815000,2009-12-24,2005,2007,40.623321,-73.909308,ny,brooklyn,11234,069602,2500,3920,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
94214320,1210000,2021-05-21,1998,1998,40.912879,-73.190984,ny,saint james,11780,135004,5419,111514,4,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,Suffolk County,36103,381253,381021,771541,0.4941448348175923,0.4938441379006430,0.0003006969169492,-0.00615586209935697900,-0.00585516518240769600,
89435173,6300,2000-06-26,2000,2000,42.08435,-78.413544,ny,olean,14760,961800,960,11240,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Cattaraugus County,36009,22155,11879,34845,0.6358157554885924,0.3409097431482278,0.2949060123403645,-0.15909025685177220000,0.13581575548859237000,
90969299,614500,2004-10-18,1926,1926,40.590278,-73.955219,ny,brooklyn,11235,059000,2800,2000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
169039447,4250000,2021-11-16,2018,2018,40.744194,-73.984792,ny,new york,10016,007400,1781,9463,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,New York County,36061,85185,603040,694904,0.1225852779664529,0.8678033224733200,-0.7452180445068671,0.36780332247332004000,-0.37741472203354710000,
94648491,110000,2014-12-31,1975,1975,43.331852,-73.399367,ny,hartford,12838,085000,1016,226512,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Washington County,36115,15941,11565,28138,0.5665292487028218,0.4110100220342597,0.1555192266685621,-0.08898997796574032000,0.06652924870282184000,
